हेपेटाइटिस- बची तपासणी.	hepatitis- bachi tapasni.
ठिपक्यांचा पाणगरुड	thipkyancha pangarud
अजॅक्स व एच.	Ajacks va H.
आल्बर्टा हा नैसर्गिक वायू निर्यातीत जगात दुसर्‍या क्रमंकावर आहे.	Alberta ha naisargik vaayu niryatit jagat dusrya kramankavar ahe.
पराभवाच्या धक्क्याने नानासाहेब पेशवे खचले होतेच.	parabhavachya dhakkyane Nanasaheb Peshwe khachle hotech.
महुआ सरकार यांनी त्यांचा सदर पुस्तकामध्ये वसाहतकालीन भारताच्या इतिहासामध्ये मुस्लिम स्त्रियांचे कोणकोणत्या वेगवेगळ्या मार्गांनी चित्रण झाले आहे याची चिकित्सात्मक चर्चा केली आहे.	Mahua Sarkar yanni tyancha sadar pustakamadhye vasahatkalin Bharatachya itihasamadhye Muslim streeyanche konkontya vegveglya marganni chitran zale ahe yachi chikitsatmak charcha keli ahe.
जागतिक दिवस आंतरराष्ट्रीय दिवस	jagatik divas antarrashtriya divas
पेंडसे यांचे जन्मगाव आहे.	Pendse yanche janmagav ahe.
ठाणे पोलिसांनी तब्बल १२ कॉल सेंटर्सवर एकाच वेळी छापा टाकला.	Thane polisanni tabbal 12 call centrevar ekach veli chapa takla.
पुण्यातील एक महापंडित न्यायरत्न धुंडीराजशास्त्री विनोद यांना त्यांच्या पुस्तकांच्या प्रकाशनाकरता लेखनिक म्हणून एका मदतनीसाची गरज होती.	Punyatil ek mahapandit nyayratna Dhundirajshastri Vinod yanna tyanchya pustakanchya prakashanakarta lekhnik mhanun eka madatnisachi garaj hoti.
निरनिराळ्या तेलक्षेत्रांतील खनिज तेलांचे रासायनिक संघटन अगदी सारखेच नसते, पण ती मुख्यतः हायड्रोकार्बनी संयुगांच्या मिश्रणांची बनलेली असतात.	nirniralya telkshetrantil Khanij telanche rasaynik sanghatan agdi sarkhech naste, pan ti mukhyatah Hydrocarbony sanyuganchya mishrananchi banleli astat.
ऑपेरा सामान्य आंतरजाल-संबंधित कामे हाताळू शकतो, उदा.	Opera samanya antarjal-sambandhit kame hatalu shakto, uda.
सोलोमनी घराणे हे इथियोपियावर राज्य करणारे राजघराणे होते.	Solomanni gharane he Ethopiavar rajya karnare rajgharane hote.
त्यानंतर त्यांना कृष्णा पाटील दिग्दर्शित 'एक माती अनेक नाती' या चित्रपटात नायकाचे काम मिळाले आणि त्यांच्या चित्रपट प्रवासाला सुरवात झाली.	tyanantar tyanna Krushna Patil digdarshit 'ek mati anek nati' ya chitrapatat nayakache kam milale ani tyanchya chitrapat pravasala survat zali.
सकारात्मक विचार जोपासावेत.	sakaratmak vichar jopasavet.
त्या अंतर्गत इतर भाषा शिकण्यासाठी प्रोत्साहन व आनुदान मिळते.	tya antargat itar bhasha shiknyasathi protsahan va anudan milte.
जसे वाहनाचे नोंदणी प्रमाणपत्र, वाहन परवाना इत्यादी.	jase vahanache nondani pramanpatra, vaahan parwana ityadi.
मॅक्सीन बर्नसन यांचा जन्म ७ ऑक्टोबर १९३५ ला अमेरिकेतल्या मिशिगन राज्यातील एस्कनाबा येथे झाला.	Maxin Burnson yancha janma 7 October 1935 la Ameriketlya Michigan rajyatil Escanaba yethe zala.
किरिबाटी हा ओशनिया खंडाच्या मायक्रोनेशिया भागातील एक छोटा द्वीप-देश आहे.	Kiribati ha Oceania khandachya Micronesia bhagatil ek chota dweep-desh ahe.
जैन धर्म	Jain dharma
शुभम	Shubham
शिवाजी महाराजांसमोर औरंगजेबाचे सर्व सरदार अपयशी ठरत होते, त्यावेळी औरंगजेबाला 'प्रतिशिवाजीची' आठवण झाली.	Shivaji Maharajansamor Aurangzebache sarva Sardar apayashi tharat hote, tyaveli Aurangzebala 'pratishivajichi' athwan zali.
त्या समितीने काही अरबी आणि काही फारसी वर्ण एकत्र करून तिसरीच एक लिपी तयार केली.	tya samitine kahi Arabi ani kahi Farshi varna ekatra karun teesrich ek lipi tayaar keli.
मराठवाड्यात अनेकविध प्रकारचे व्यवसाय चालत असलेले आढळून येतात.	Marathwadyat anekvidh prakarche vyavasay chalat aslele adhalun yetat.
तिने २०१६ उन्हाळी ऑलिंपिकमध्ये भारताचे प्रतिनिधित्व केले.	tine 2016 Unhali Olympicmadhye Bharatache pratinidhitva kele.
एक विभागीय साहित्य संमेलन वणी (विदर्भ) येथे झाले होते. (कधी?)	ek vibhagiya sahitya sammelan Vani (Vidarbha) yethe zale hote. (kadhi?)
एक झोम्बी घराच्या दिशेने एकाच आडव्या पट्टीतून येतो.	ek zombie gharachya dishene ekach advya pattitun yeto.
त्या योजनेनुसार त्यांनी आजारी पडल्याचे निमित्त केले आणि त्यांच्या प्रकृतीस्वास्थ्यासाठी विविध मंदिरांना मिठाईचे पेटारे पाठविण्यात येऊ लागले.	tya yojanenusar tyanni aajari padlyache nimitta kele ani tyanchya prakrutiswasthyasathi vividh mandiranna mithaiche petare pathvinyat yeu lagle.
बळवली हे भारत देशातील, महाराष्ट्र राज्यातील,रायगड जिल्ह्यातील, पनवेल तालुक्यातील एक गाव आहे.	Balavli he Bharat deshatil, Maharashtra rajyatil,Raigad zillyatil, Panvel talukyatil ek gaav ahe.
वर्धा नदीवर सिंबोराजवळ जिल्ह्यातील सर्वात मोठे धरण आहे.	Wardha nadiwar Simbhorajawal zillyatil sarvat mothe dharan ahe.
ते आध्यात्मिक विचाराचे होते, पण विषयोपभोगाचे त्यांना वावडे नव्हते.	te adhyatmik vicharache hote, pan vishayopbhogache tyanna vavde navhate.
२०१४ महाराष्ट्र विधानसभा निवडणुकीपूर्वी चव्हाण ह्यांनी मुख्यमंत्रिरीपदाचा राजीनामा दिला.	2014 Maharashtra Vidhansabha nivadnukipurvi Chavan hyanni Mukhyamantripadacha rajinama dila.
किंवा ऊष्मगतिशास्त्र (इंग्लिश: Thermodynamics, थर्मोडायनामिक्स;) ही उष्णतेचे अन्य ऊर्जाप्रकारांत रूपांतर होत असताना त्याचे गुणात्मक व परिणामात्मक मापन करणारी भौतिकशास्त्राची एक शाखा आहे.	kivva Ushmagatishastra (English: Thermodynamics, Thermodynamics;) hi ushnateche anya urjaprakarat rupantar hot astana tyache gunatmak va parinamatmak mapan karnari bhoutikshastrachi ek shakha ahe.
हा महत्वाचा सिद्धांत आहे कारण, परीमेय वा वास्तव चल असणाऱ्या बहुपद्यांस, अनुक्रमे, परीमेय वा वास्तव उकली असतीलच असे नाही.	ha mahatvacha siddhant ahe karan, parimeya va vastav chal asnarya bahupadyas, anukrame, parimeya va vastav ukli astilach ase nahi.
अधिकृत संकेतस्थळ	adhikrut sanketsthal
त्या देशातील गिझाच्या पिरॅमिडजवळ स्फिंक्सची मोठ्यात मोठी मूर्ती आहे.	tya deshatil Gizachya Pyramidjawal Spinxchi mothyat mothi murti ahe.
ते अकरा वर्षांचे असताना त्यांच्या आईने नवर्‍यापासून कायदेशीर फारकत घेतली.	te akra varshanche astana tyanchya aaine navryapasun kaydeshir farkat ghetli.
त्याच्या पूर्व पत्नीचा म्रुत्यु २०१५ साली झाला.	tyachya purva patnicha mrutyu 2015 saali jhala.
हास्यगान	hasyagaan
देशमुख यांनी केला आहे.	Deshmukh yanni kela ahe.
सतरा	satra
नूव्हेल्स इन्स्क्रिशन्स दु कांबोज (फ्रेंच मजकूर).	Nouvelles Inscriptions Du Cambodge (French majkur)
तपोवन एक्सप्रेस	Tapovan Express
धारण क्षमता	dharan kshamata
विसाव्या शतकात ह्या दोन पुस्तकांनी खपाचा उच्चांक गाठला होता.	visavya shatakat hya don pustakanni khapacha ucchank gathla hota.
काकांच्या बदल्यांमुळे त्यांचे शालेय शिक्षण अनेक ठिकाणी झाले.	kakanchya badlyanmule tyanche shaleya shikshan anek thikani zale.
हरिश्चंद्राची रांग- हरिश्चंद्राची रांग ही हरिश्चंद्रगडापासून सुरू होते.	Harishchandrachi rang- Harishchandrachi rang hi Harishchandragadapasun suru hote.
प्रबोधन साहित्य परिषद	Prabodhan Sahitya Parishad
याला इंग्रजीत शाहीन फाल्कन असे म्हणतात.	yala ingrajit Shaheen falcon ase mhantat.
पराशर ऋषींचे पुत्र महर्षी व्यास यांनी महाभारत या महाकाव्याची रचना केली.	Parasher Rishinche putra Maharshi Vyas yanni Mahabharat ya Mahakavyachi rachana keli.
भौतिकशास्त्राच्या अभ्यासकास भौतिकशास्त्रज्ञ म्हणतात.	bhoutikshastrachya abhyaskas Bhoutikshastradnya mhantat.
पंतप्रधान नरेंद्र मोदी यांच्या संकल्पनेतून नीती आयोगाची स्थापना करण्यात आली.	Pantapradhan Narendra Modi yanchya sankalpanetun Neeti Ayogachi sthapana karnyat aali.
१९८६ दरम्यान जगातील सर्वात मोठी मशीद होती.	1986 darmyan jagatil sarvaat mothi Masjid hoti.
चाहूल उद्याची	chahul udayachi
हे शहर १९२० साली आल्बेनियाची राजधानी झाले.	he shahar 1920 saali Albaniachi rajdhani zale.
कलांतान (देवनागरी लेखनभेद: केलांतान, क्लांतान; भासा मलेशिया: Kelantan; सन्मान्य नाव: दारुल नईम (वर लाभलेला प्रदेश) ;) हे मलेशियामधील एक राज्य असून द्वीपकल्पीय मलेशियाच्या ईशान्येस वसले आहे.	kalantan (Devnagiri lekhanbhed: Kelantan, klantan; bhasa Malaysia: Kelantan; sanmanya nav: Darul Naim (var labhlela pradesh ;) he Malaysiamadhil ek rajya asun dweepkalpiya Malaysiachya ishanyes vasle ahe.
लीना सोहोनी या लहान अस्ताना त्यांच्या हातात वडिलांची जुनी वही सापडली.	Leena Sohoni ya lahan astana tyanchya hatat vadilanchi juni vahi sapadli.
लाहोर कटातील आरोपी म्हणून शिक्षा भोगत असताना तुरुंगातील जुलुमाचा निषेध म्हणून केलेल्या उपोषणात त्रेसष्टाव्या दिवशी सप्टेंबर १३ १९२९ रोजी त्यांचा मृत्यू झाला.	Lahore katatil aaropi mhanun shiksha bhogat astana turungatil julumacha nishedh mhanun kelelya uposhanat treshashtavya divshi September 13 1929 roji tyancha mrutyu zala.
विश्वनाथराव सप्रे यांनी स्थानिक विद्यार्थ्यांसाठी कला व वाणिज्य शाखा देवरूख परिसरात सुरू करून शिक्षणाची दारे खुली केली.	Vishwanathrao Sapre yanni sthanik vidyarthyansathi kala va vanijya shakha Devrukh parisarat suru karun shikshanachi daare khuli keli.
रुद्राक्षाचा पृष्ठभाग कठीण असावा आणि त्याच्यावरील खाचांच्या उंची आणि खोली व्यवस्थित असाव्यात, जे बहुतेक नेपाळी रुद्राक्षांमध्ये आढळते.	Rudrakshacha prushthabhag kathin asava ani tyachyavaril khachanchya unchi ani kholi vyavasthit asavyat, je bahutek Nepali rudrakshanmadhye adhalte.
मानसी कणेकर यांनी २९व्या वर्षी अनुवादशास्त्रात पीएच.	Manasi Kanekar yanni 29vya varshi anuvadshastrat PH.
राजेशाही आकार	Rajeshahi aakar
मेहमूद अली हा हिंदी चित्रपटसृष्टीतील अभिनेता होता.	Mehmood Ali ha Hindi chitrapatshrushtitil abhineta hota.
विद्यार्थ्यांना तज्ज्ञ व्यक्तींचे विचार ऐकायला मिळावेत आणि त्यांच्या संशोधनाबद्दल माहिती मिळावी यासाठी वेगवेगळ्या उपक्रमांचे आयोजन कॉलेजतर्फे करण्यात येते.	vidyarthyanna tadnya vyaktinche vichar aikayla milavet ani tyanchya sanshodhanabaddal mahiti milavi yasathi vegveglya upakramanche ayojan collegetarfe karnyat yete.
उदाहरणार्थ नर्तनाची शिकवणी लावणे.	udaharanartha nartanachi shikavni lavne.
ही लढाई बहुतेक वेळा संयम आणि बुद्धी यांची असते.	hi ladhai bahutek vela sayyam ani budhi yanchi aste.
श्रीकांत उमरीकर हे ’ग्रंथसखा’ या मासिकाचे संपादक आहेत.	Shrikant Umarikar he 'granthasakha' ya masikache sampadak ahet.
यात पातळ्यांचे पाच संघ असून प्रत्येक संघात दहा लघुपातळ्या असता.	yaat patlyanche paach sangha asun pratyek sanghat daha laghupatlya asta.
हय़ाशिवाय 20व्या शतकात झालेली विश्वलोकसंख्येतील प्रचंड वाढ ही विशेष क्रांतिकारी घटना होय.	hyashivai 20vya shatakat zaleli vishwaloksankhyetil prachanda wadh hi vishesh krantikari ghatana hoy.
म्युनिच मध्ये आयोजित १९७६च्या उन्हाळी ऑलिंपिक मध्ये इस्रायलचे अकरा ऑलिंपिक चमू चे सदस्य बंधक बनवले होते व शेवटी त्यांची हत्या करण्यात आली.	Munich madhye ayojit 1976chya unhali Olympic madhye Israelche akra Olympic chamu che sadasya bandhak banavle hote va shevti tyanchi hatya karnyat ali.
ते थंड प्रदेशात होते.	te thanda pradeshat hote.
भोंडल्याचे गीत	Bhondlyache geet
बंगाली क्रांतिकारक आणि विचारवंत योगी अरविंद घोष यांनी भारतमाता ही संकल्पना मांडली आहे.	Bengali krantikarak ani vicharvanta yogi Arvind Ghosh yanni Bharatmata hi sankalpana mandli ahe.
जंगलांमध्ये राहणाऱ्या गरुडांचे पंख छोटे असतात व शेपटी लांब असते, ज्यामुळे ते उडताना हवेतल्या हवेत अगदी सहज कलाटणी घेऊ शकतात.	Junglamadhye rahnarya garudanche pankha chote astat va shepti lamb aste, jyamule te udtana hawetlya hawet agdi sahaj kalatni gheu shaktat.
येथील मातोश्री सरुताईंचा मठ प्रसिद्ध आहे.	yethil Matoshri Sarutaincha math prasidha ahe.
सोलापूर शहरात भुईकोट प्रकारचा किल्ला आहे.	Solapur shaharat Bhuikot prakarcha killa ahe.
सुन्दर पीचाई	sunder pichai
२००९ च्या लोकसभा निवडणुकांमध्ये उत्तराखंड राज्यातील हरिद्वार लोकसभा मतदारसंघातून लोकसभेवर निवडून गेले.	2009 cha Loksabha nivadnukanmadhye Uttarakhand rajyatil Haridwar loksabha matadarsanghatun loksabhewar nivadun gele.
यापूर्वी त्यांनी ’पत्रव्यवहारातून डॉ.	yapurvi tyanni 'patravyavaharatun Dr.
बुराई नदीवर ३४ बंधारे बांधून तिला बारमाही प्रवाहित करण्याचा महत्त्वाकांक्षी उपक्रम हाती घेण्यात आला आहे, त्यासाठी २० कोटी रुपये खर्च होणार आहेत.	Burai nadivar 34 bandhare bandhun tila Barmahi pravahit karnyacha mahatvakanshi upakram hati ghenyat aala ahe, tyasathi 20 koti rupaye kharcha honar ahet.
सगळ्या सहकलाकारांना काढून टाकतो.	saglya sahakalakaranna kadhun takto.
शंकरराव चव्हाण	Shankarrao Chavan
अर्भक, संतान, संतती, मूल, बालक हे सगळे स्वकीय शब्द आहेत.	arbhak, santaan, santati, mul, balak he sagle swakiya shabda ahet.
येथील ताश्कंद आंतरराष्ट्रीय विमानतळ उझबेकिस्तानमधील सर्वात वर्दळीचा असून तो उझबेकिस्तान एअरवेजचा प्रमुख वाहतूकतळ आहे.	yethil Tashkand Antarrashtriya vimantal Uzbekistanmadhil sarvaat vardalicha asun to Uzbekistan Airwayscha pramukh vahatuktal ahe.
भुदरगड हा भारताच्या महाराष्ट्र राज्यातील एक किल्ला आहे.	Bhudargad ha Bharatachya Maharashtra rajyatil ek killa ahe.
ते महापौर असताना त्यांनी महापालिकेच्या सर्वसाधारण सभेत गोंधळ होऊ दिला नाही.	te Mahapaur astana tyanni Mahapalikechya sarvasadharan sabhet gondhal hou dila nahi.
सध्या गावामध्ये मुस्लिम धर्माचे केवळ एकच घर आहे.	sadhya gavamadhye Muslim dharmache keval ekach ghar ahe.
मे १९ - मेक्सिकन-अमेरिकन युद्ध-ग्वादालुपे हिदाल्गोचा तह - मेक्सिकोने पराभव मान्य केला व कॅलिफोर्निया, नेव्हाडा, युटाह ही राज्ये व अ‍ॅरिझोना, कॉलोराडो, वायोमिंग व न्यू मेक्सिको राज्यांचा काही भाग अमेरिकेला १८,२५,००० अमेरिकन डॉलरला विकला.	May 19 - Mexican-American yudha-Guadalupe Hidalgocha taha - Mexicone parabhav manya kela va California, Nevada, Utah hi rajye va Arizona, Colorado, Wyoming va New Mexico rajyancha kahi bhag Amerikela 18,25,000 American dollarla vikla.
सरकारकडून अपेक्षाभंग	sarkarkadun apekshabhanga
तक्षशिला बौद्ध संघ, काळेवाडी (पुणे)	Takshashila Baudha Sangha, Kalewadi (Pune)
२८ सप्टेंबर २०११ रोजी या कंपनीचे सचिव विजय मल्ल्या यांनी स्वस्त दरामध्ये सेवा देणे शक्य नसल्याने किंगफिशर रेडची सर्व सेवा बंद करण्यात येणार असल्याचे जाहीर केले.	28 September 2011 roji ya companyche sachiv Vijay Mallya yanni swasta daramadhye seva dene shakya naslyane Kingfisher Redchi sarva seva banda karnyat yenar aslyache jaahir kele
म्हणून त्या दिवशी या खंडाचा शोध लागला असे मानले जाते.	mhanun tya divshi ya khandacha shodh lagla ase manle jate.
या तहानूसार, अंटार्क्टिका खंडावर कोणताही देश मालकीहक्क सांगू शकत नाही.	ya tahanusar, Antarctica khandawar kontahi desh malkihakka sangu shakat nahi.
भारताच्या बहुतेक घटक राज्यातील सावकारीसंबंधीच्या कायद्यांनी अनेक बाबींना प्रतिबंध केलेला आहे.	Bharatachya bahutek ghatak rajyatil savkarisambandhichya kaydyanni anek babinna pratibandha kelela ahe.
अंतरावर नवेगाव राष्ट्रीय उद्यान आहे.	antarawar Navegaon Rashtriya udyan ahe.
जुलै,१९८५ मध्ये हाँगकाँग सरकारकडून हवाई वाहतूक प्रमाणपत्र मिळाल्यावर, बोईंग ७३७-२०० सह काई टाक आंतरराष्ट्रीय विमानतळ ते मलेशियामधील कोटा किनाबलु आंतरराष्ट्रीय विमानतळपर्यंतच्या सेवेसह कंपनी कार्यरत झाली.	July,1985 madhye HongKong sarkarkadun hawai vahtuk pramanpatra milalyawar, Boeing 737-200 saha Kai Tak Antarrashtriya vimantal te Malaysiamadhil Kota Kinabalu Antarrashtriya vimantalparyantachya sevesaha company karyarat zali.
तीन किलोमीटरवर पेठ गाव लागते.	teen kilometervar Peth gaav lagte.
अस्थिसंस्था	asthisanstha
गोलमेज परिषदेला गेलेल्या काही हिंदी पुढार्यांनी गोलमेज परिषदेहून आल्यावर महात्मा गांधींची भेट घेतली व मजूर पक्षाच्या मनात भारताच्या स्वातंत्र्याबद्दल सहानुभूती असल्याचे सांगितले व महात्मा गांधींनी व्हाईसरॉयची भेट घेऊन तडजोड करावी असे सुचविले.	Golmej Parishadela gelelya kahi Hindi pudharyanni Golmej Parishadehun aalyawar Mahatma Gandhinchi bhet ghetli va majur pakshachya manat Bharatachya swatantryabaddal sahanubhuti aslyache sangitle va Mahatma Gandhinni Viceroychi bhet gheun tadjod karavi ase suchavile.
योगसिध्दी	yogsiddhi
शेजारीच दाऱ्या घाट नावाची कोकणात उतरणारी घाटवाट आहे.	shejarich Darya ghat navachi Koknat utarnari ghatvat ahe.
सनातनी-क्रांतिकारी,	sanatani-krantikari,
आयओएस व आयपॅडसाठी साठी तो फेब्रुवारी २०१० मध्ये प्रकाशित झाला.	IOS va Ipadsathi sathi to February 2010 madhye prakashit zala.
मुला किंवा मुलीचा जन्म झाल्यावर २-३ आठवड्यांनी चर्चेमध्ये पादरी त्याच्या किंवा तिच्या डोक्यावर तीन वेळा पवित्र पाणी शिंपडतात व मी तुला बावतीसमा देताय बापाचे, पुत्राचे अनी स्प्रिंट संतांचे.	mula kivva mulicha janma zalyawar 2-3 athavdyanni churchmadhye padari tyachya kivva tichya dokyawar teen vela pavitra paani shimpadtat va me tula baptisma detay bapache, putrache ani sprint santanche.
लक्ष्मी विष्णु,	Laxmi Vishnu,
अनुष्टुभ	anushutbha
वनडेत सलग सातव्यांदा अर्धशतक करणाऱ्या त्या पहिल्या महिला खेळाडू आहेत.	onedayt salag satvyanda ardhashatak karnarya tya pahilya mahila kheladu ahet.
उत्तर आणि दक्षिण दोन्ही उष्ण कटिबंध सामावणारा आफ्रिका हा एकमेव खंड आहे.	uttar ani dakshin donhi ushna katibandha saamavnara Africa ha ekmeva khanda ahe.
ते तेहरान विद्यापीठात आंतरराष्ट्रीय संबंधांचे अभ्यागत प्राध्यापक आहेत.	he Tehran Vidyapithat Antarrashtriya sambandhanche abhyagat pradhyapak ahet.
त्याच्या पश्चिम सीमेला मृग, उत्तरेला मिथुन, दक्षिणेला बृहल्लुब्धक आणि पूर्वेला वासुकी हे तारकासमूह आहेत.	tyachya paschim seemela mrug, uttarela mithun, dakshinela bruhallubdhak ani purvela vasuki he tarkasamuha ahet.
कोल्हापूर-देवरूख मार्गावर एम.	Kolhapur-Devrukh margawar M.
आठव्या आठवड्यापर्यंत गर्भाच्या अभिसरणसंस्था, चेतासंस्था, पचनसंस्था, आणि वृक्क व उत्सर्जन संस्था विकसित झालेल्या असतात.	athvya athavdyaparyanta garbhachya abhisaransanstha, chetasanstha, pachansanstha, ani vrukka va utsurjan sanstha vikasit zalelya astat.
हसमुख धीरजलाल सांकलिया आणि शांताराम भालचंद्र देव; रिपोर्ट ऑन द एक्सकेव्हेशन ॲट नासिक ॲन्ड जोर्वे १९५०-५१; डेक्कन कॉलेज पोस्टग्रॅज्युएट ॲन्ड रिसर्च इन्स्टिट्यूट, पुणे १९५५	Hasmukh Dhirajlal Sankliya ani Shantaram Bhalchandra Dev; Report on The Excavation at Nasik and Jorwe 1950-51; Deccan College Postgraduate and Research Institute, Pune 1955
तिने ओपेक्टातील इतर कर्मचाऱ्यांसोबत मिळून ॲन फ्रँक व तिच्या कुटुंबाला नाझी जर्मनीपासून लपवून ठेवले होते.	tine Opektatil itar karmacharyansobat milun Anne Frank va tichya kutumbala Nazi Germanypasun lapvun thevle hote.
सुमारे ११ अब्ज वर्षांपूर्वी त्याची निर्मिती झाली असा अंदाज वर्तवला जातो.	sumare 11 abja varshanpurvi tyachi nirmiti zali asa andaj vartavla jato.
ऑपेरा मिनी हा भ्रमणध्वनींसाठीचा सर्वांत लोकप्रिय आंतरजाल न्याहाळक आहे.	Opera mini ha bhramandhwaninsathicha sarvat lokpriya antarjal nyahalak ahe.
नवनाथ यांचे मूळ गांव उस्मानाबाद जिल्ह्यातल्या कळंब तालुक्यातील घारगाव होते.	Navnath yanche mul gav Osmanabad zillyatlya Kalamb talukyatil Ghargaon hote.
संप्रदाय: अद्वैतवेदान्त	sampraday: Adwaitvedant
नंतर खुराई रेल्वे स्थानकापासून छत्तीसगड मधील बिलासपूर पर्यंत तीचा सरासरी वेग ४0 कि.	nantar Khurai railway sthanakapasun Chattisgarh madhil Bilaspur paryant ticha sarasari weg 40 k.
इंटरनेट मूव्ही डेटाबेसवरील जेरेमी रेनरचे पान (इंग्लिश मजकूर)	internet movie databasewaril Jeremy Rennerche pan (English majkur)
शक्ति कपूर	Shakti Kapoor
टाटा व्यवस्थापन प्रशिक्षण केंद्र	TATA vyavasthapan prashikshan kendra
दरवडेखोर	daravadekhor
दादोजी कोंडदेव हे शिवाजी महाराजांचे गुरू असल्याचा कोणतीही अधिकृत जबाबदारी किंवा तसा कागदोपत्री पुरावा नसताना छत्रपती शिवाजी महाराज दादोजी कोंडदेवांच्या मार्गदर्शनाने मोठे झाले असा समज पसरवणे, ही महाराजांच्या इतिहासाविषयीची दिशाभूल असून, अशी दिशाभूल दादोजी कोंडदेव ब्राह्मण होते व इतिहास लेखन करणारी मंडळी ब्राह्मण असल्यामुळे केली जात होती, असे ब्राह्मणेतर चळवळ आणि संभाजी ब्रिगेड इत्यादी संस्थांनी, दादोजी कोंडदेव हे गुरू असल्याचे उल्लेख यापुढे वगळावेत, असा आग्रह धरल्याचे दिसून येते.	Dadoji Konddev he Shivaji Maharajanche Guru aslyacha kontihi adhikrut jababdari kivva tasa kagdopatri purava nastana Chatrapati Shivaji Maharaj Dadoji Konddevanchya margadarshanane mothe zale asa samaj pasravne, hi Maharajanchya itihasavishayichi dishabhul asun, ashi dishabhul Dadoji Konddev Brahman hote va itihas lekhan karnari mandali Brahman aslyamule keli jat hoti, ase Brahmanetar chalval ani Sambhaji brigade ityadi sansthanni, Dadoji Konddev he guru aslyache ullekh yapudhe vaglavet, asa agraha dharlyache disun yete.
इंदिरा गांधी (लाखे प्रकाशन)	Indira Gandhi (Lakhe prakashan)
खाली पांढुरक्या रंगावर तपकिरी रंगाचे पट्टे आहेत.	khali pandhurkya rangawar tapkiri rangache patte ahet.
नाथ महाराजांच्या “आम्ही राहतो माळावरी, तुम्ही बैसावे क्षीरसागरी” या उक्ती नुसार श्री आप्पा स्वामी महाराजांनी तपश्चर्येसाठी हे स्थान निवडले असावे.	Nath Maharajanchya "amhi rahto malavari, tumhi baisave Kshirsagri" ya ukti nusar Shri Appa Swami Maharajanni tapascharyesathi he sthan nivadle asave.
कमळवेल (काव्यसंग्रह)	kamalvel (kavyasangraha)
लव लावे क्षैतिजपणे झिरझडित कवच लहरी (एस.एम. लहरी) आहेत, जे फक्त अर्ध-अनंत माध्यमाच्या उपस्थितीत अस्तित्वात आहेत.	luv lave kshaitijpane zirzadit kavach lahari (S.M. Lahari) ahet, je fakta ardha-anant madhyamachya upasthitit astitvat ahet.
तेव्हा त्यांनी सांगितले की, तू प्रत्येक हजार पावले टाकल्यावर ‘अहो, श्रीदत्ता’ अशी गर्जना कर.	tevha tyanni sangitale ki, tu pratyek hajar pavle taklyawar 'aho, Shridatta' ashi garjana kar.
विशेष म्हणजे, यासाठी कुटुंबाची आर्थिक मर्यादा ८ लाखावरुन ६ लाख करण्याचा ऐतिहासिक निर्णयही दादांच्या अध्यक्षतेखालील मंत्रिमंडळ उपसमितीने घेतला.	vishesh mhanje, yasathi kutumbachi arthik maryada 8 lakhavarun 6 lakh karnyacha aitihasik nirnayhi Dadanchya adhyakshatekhalil mantrimandal upasamitine ghetla.
समकालीन संदर्भात रोजच्या आयुष्यात भारतीय संस्कृती ही जात, वर्ग, लिंगभाव यांच्या आंतरछेदितेमधून दिसून येते.	samakalin sandarbhat rojchya ayushyat Bharatiya Sanskruti hi jaat, varga, lingbhav yanchya antarcheditemadhun disun yete.
तण	tan
साखर कारखान्यात ते मोठ्या हुद्दय़ावर असल्याने जोगांचे कुटुंब अहमदनगरमध्ये स्थायिक झाले होते.	sakhar karkhanyat te mothya huddyawar aslyane Joganche kutumba Ahmednagarmadhye sthayik zale hote.
रवी शास्त्रीच्या (भा) १५०० आंतरराष्ट्रीय एकदिवसीय धावा पूर्ण.	Ravi Shastrichya (bha) 1500 antarrashtriya ekdivasiya dhava purna.
क्वेबेक शहर	Quebec shahar
यशवंत देव यांनीह्यी काही गजलांना चाली दिल्या आहेत. या गजला ते मैफिलीत सादर करत.	Yashwant Dev yanihyi kahi gazlanna chali dilya ahet. Ya gazla te maifilit sadar karat.
आजही तिच्या ओळ्या सहज स्फुरतात.	ajahi tichya olya sahaj sphurtat.
महायुद्धामध्ये भारताने ब्रिटन ला खूप मदत केली होती, त्याबदल्यात स्वशासन मिळावे अशी अपेक्षा केली होती.	Mahayudhamadhye Bharatane Britain la khup madat keli hoti, tyabadlyat swashasan milave ashi apeksha keli hoti.
२००५ पर्यंतची देशाची वाटचाल, बहुजन समाजातील सर्व समजासुधारक, संतांची शिकवण चित्ररूपाने, शिल्परूपाने, इलेक्ट्रॉनिक्स माध्यमाच्या सहाय्याने लिखित स्वरूपात आदी विविध प्रकारे चित्रित केली जाईल.	2005 paryantachi deshachi vatchal, bahujan samajatil sarva samajsudharak, santanchi shikvan chitrarupane, shilparupane, electronics madhyamachya sahayyane likhit swarupat adi vividh prakare chitrit keli jael.
२००९ मध्ये आफ्रिकेची लोकसंख्या सुमारे एक अब्ज, म्हणजेच पृथ्वीवरील लोकसंख्येच्या १४.७२ टक्के एवढी होती.	2009 madhye Afrikechi loksankhya sumare ek Abja, mhanjech prithvivaril loksankhyecha 14.72 takke evdhi hoti.
दुपारनंतर बुद्धमूर्ती व भिक्खू यांच्यावर उपासक गुलाब पाण्याचा वर्षाव करतात.	duparnantar Budhamurti va Bhikhu yanchyavar upasak gulab panyacha varshav kartat.
