हेपेटाइटिस	hepatitis
परिणाम	parinaam
प्रथ्वक	prathvak
गुरुत्व	gurutva
परत्व	paratva
अपरत्व	aparatva
धर्म	dharma
अधर्म	adharma
स्नेह	sneh
व्देष	dvesh
सुख	sukh
दुःख	dukkha
इच्छा	iccha
प्रयत्न	prayatna
–	-
गुण	goon
म्हणजे	mhanje
जे	je
द्रव्यावर	dravyavar
रहतात	rahtat
त्यावर	tyavar
दुसरे	dusre
गुण/क्रिया	goon/kriya
रहात	rahat
नाही	nahi
</s>	</s>
खैरवार	khairwar
-	-
खैर	khair
म्हणजे	mhanje
काथाचे	kaathache
काम	kaam
करणारे	karnare
म्हणून नाव	mhanun
खैरवार	khairwar
नाव	naav
पडले	padle
बिलासपूर	bilaspur
सुरगुजा	surguja
भागातले	bhagatle
</s>	</s>
फ़िल्मफेअर	filmfare
सर्वोतम	sarvottam
अभिनेत्री	abhinetri
शर्मिला	sharmila
टागोर	tagore
</s>	</s>
निरंतर	nirantar
</s>	</s>
पुणे	pune
जिल्ह्यातील	zillyatil
सासवड	saswad
हे	he
तालुक्याचे	talukyache
ठिकाण	thikan
या	ya
नदीकाठी	nadikathi
वसले	vasle
आहे	ahe
</s>	</s>
विद्यमान	vidyaman
विधानसभा	vidhansabha
२०१२	2012
सालच्या	saalchya
निवडणुकीनंतर	nivadnukinantar
अस्तित्वात	astitvat
आली	aali
</s>	</s>
६७	67
मध्ये	madhye
रोमन	roman
सम्राट	samrat
नीरो	nero
ह्याच्या	hyachya
हुकुमावरून	hukumavarun
रोममध्ये	romemadhye
पीटरला	peterla
ठार	thar
मारण्यात	marnyat
आले	aale
</s>	</s>
सुसंवादाचा	susanvadacha
अभाव	abhaav
</s>	</s>
ऑस्ट्रेलिया	australia
येथील	yethil
सी.पी.ए	c.p.a
</s>	</s>
पीटर	peter
</s>	</s>
या	ya
पद्धतीचे	padhatiche
चित्रण	chitran
येते	yete
</s>	</s>
तथा	tatha
चियापास	chiyapas
आग्वार	aagwar
हा	ha
मेक्सिकोच्या	mexicochya
तुच्तला	tuchtla
गुतिएरेझ	gutierez
शहरातील	shaharatil
फुटबॉल	fooball
क्लब	club
आहे	ahe
</s>	</s>
1989	1989
मध्ये	madhye
मैत्री	maitri
या	ya
कायमस्वरुपी	kayamswarupi
स्थानक	sthanak
बांधण्यात	bandhnyat
आलेले	aalele
आहे	ahe
</s>	</s>
शारदा	sharda
कोदंड	kodand
श्रीमंत	shrimant
</s>	</s>
मी	me
शिवाजी	shivaji
राजे	raje
भोसले	bhonsle
बोलतोय	boltoy
२००९)या	2009)ya
मराठी	marathi
सिनेमा	cinema
मध्ये	madhye
अफझलखानाचा	afzalkhanacha
वध	vadh
हा	ha
पोवाडा	povada
गायला	gayla
आहे	ahe
</s>	</s>
हवाबंद	havaband
करण्यामुळे	karnyamule
त्यात	tyat
बाहेरील	baheril
जंतूंचा	jantuncha
शिरकाव	shirkav
होत	hot
नाही	nahi
व	va
तो	to
पदार्थ	padartha
टिकतो	tikto
</s>	</s>
चेन्नई	chennai
एक्सप्रेस	express
या	ya
चित्रपटांची	chitrapatachi
सुरवात	suruwat
मुंबई	mumbai
ते	te
रामेश्वरम	rameshwaram
रेल्वे	railway
प्रवासापासुन	pravasapasun
सुरु	suru
होते	hote
</s>	</s>
मंगोलिया	mangolia
सारखे	sarkhe
काही	kahi
देश	desh
तर	tar
तिथल्या	tithlya
आजतागायत	ajtagayat
अस्तित्वात	astitvat
असलेल्या	aslelya
अश्व-संस्कृतीसाठीच	ashva-sanskrutisathich
प्रसिद्ध	prasidha
आहेत	ahet
</s>	</s>
१९८६	1986
दरम्यान	darmyan
फ्रंटियर	frontier
एअरलाइन्स	airlines
याच	yaach
नावाची	navachi
एक	ek
विमानकंपनी	viman company
कार्यरत	karyarat
होती	hoti
</s>	</s>
मुख्यतः	mukhyatah
आदिवासी	adivasi
आणि	ani
कुणबी	kunbi
समाजातील	samajatil
लोक	lok
येथे	yethe
राहतात	rahtat
</s>	</s>
१९६०च्या	1960chya
उत्तरार्धात	uttarardhat
लंडनातील	londonatil
अंडरग्राउंड	underground
संगीतक्षेत्रात	sangeetkshetrat
ते	te
नावाजले	navajle
जाऊ	jau
लागले	lagle
</s>	</s>
हे	he
दोघेही	doghehi
विष्णू	vishnu
दिगंबर	digambar
पलुस्कर	paluskar
यांनी	yanni
स्थापलेल्या	staplelya
गांधर्व	gandharva
महाविद्यालयाशी	mahavidyalayashi
निगडीत	nigadit
होते	hote
</s>	</s>
त्यामुळे	tyamule
आपण	apan
जरी	jari
राजकारणात	raajkarnat
भाग	bhag
घेऊन	gheun
इंग्रजी	ingraji
राजवटीचा	rajvaticha
प्रतिकार	pratikar
करू	karu
शकलो	shaklo
नाही	nahi
तरी	tari
सावरकर	savarkar
सुचवितात	suchavitat
त्याप्रमाणे	tyapramane
आपल्या	aplya
भाषेचे	bhasheche
शुद्धीकरण	shudhikaran
करून	karun
त्या	tya
रूपाने	rupane
इंग्रजीची	ingrajichi
ह्कालपट्टी	hakalpatti
करू	karu
शकतो	shakto
अशी	ashi
सावरकरांच्या	savarkaranchya
अनुयायांची	anuyayanchi
श्रद्धा	shraddha
होती	hoti
</s>	</s>
कैयट	kaiyat
आणि	ani
उवट	uvat
असे	ase
दोन	don
कनिष्ठ	kanishtha
बंधू	bandhu
त्याला	tyala
होते	hote
</s>	</s>
पतंग	patang
हवेमुळे	havemule
वर	var
आकाशात	aakashat
जातो	jato
</s>	</s>
आल्याबरोबर	alyabarobar
सुवासिनींची	suvasininchi
व	va
कुमारिकेची	kumarikechi
तुळशीपुढे	tulshipudhe
पूजा	puja
होते	hote
</s>	</s>
आकाशातील	akashatil
आपल्या	aplya
सूर्यमालेतल्या	suryamaletlya
नऊ	nau
ग्रहांना	grahanna
हिंदू	hindu
धर्मात	dharmat
देवता	devata
मानले	manle
गेले	gele
आहे	ahe
</s>	</s>
ह्युयी	huey
ट्लाटोवानी	tlatoani
नाहुआट्ल	nahuatla
मोठा	motha
वक्ता	vakta
या	ya
शब्दाचा	shabdacha
उयी	uyi
ट्लाटोवानी	tlatoani
किंवा	kivva
ह्युय	hueu
ट्लाहटोआनी	tlahtoani
असाही	asahi
उच्चार	ucchar
केला	kela
जातो	jato
</s>	</s>
लक्ष्मीच्या	laxmichya
यात्रा	yatra
सुरू	suru
झाल्यापासून	jhalyapasun
साड्यानां	sadyanna
काही	kahi
कमी	kami
नाही	nahi
</s>	</s>
हे	he
शहर	shahar
हरदोई	hardoi
जिल्ह्याचे	zillyache
प्रशासकीय	prashasakiya
केंद्र	kendra
आहे	ahe
</s>	</s>
विशेषतः	vishestah
जे	je
धुम्रपान	dhumrapaan
करतात	kartat
त्यांनी	tyanni
रताळे	ratale
खायलाच	khaylach
हवे	have
</s>	</s>
१८व्या	18vya
शतकाच्या	shatakachya
अखेरीस	akheris
दक्षिण	dakshin
अमेरिका	america
खंडातील	khandatil
सर्वाधिक	sarvadhik
लोकसंख्येचे	loksankhyeche
शहर	shahar
असलेल्या	aslelya
कुस्कोची	cuscochi
लोकसंख्या	loksankhya
२००७	2007
साली	saali
सुमारे	sumare
३.५९	3.59
लाख	lakh
इतकी	itki
होती	hoti
</s>	</s>
इटली	italy
ह्या	hya
देशाचा	deshacha
मोठा	motha
भाग	bhag
ह्या	hya
द्वीपकल्पावरच	dweepkalpavarach
स्थित	sthit
आहे	ahe
</s>	</s>
उदा	uda
-	-
आंबा	amba
पोळी	poli
सुकेळी	sukeli
केळीचे	keliche
वेफर्स	wafers
फळांपासून	falanpasun
बनविण्यात	banavinyat
येणाऱ्या	yenarya
पावडरी	powderi
इत्यादीना	ityadina
लॅमिनेटेड	laminated
पाऊचमध्ये	pouchmadhye
ठेवून	thevun
पाऊचमधील	pouchmadhil
सर्व	sarva
हवा	hawa
काढून	kadhun
त्याच्यामध्ये	tyachyamadhye
नायट्रोजन	nitrojen
भरला	bharla
जातो	jato
</s>	</s>
शिवारातली	shivaratli
चक्कोटली	chakkotli
वावरं	vavran
दारवेत	darvet
घातल्यान	ghatlyan
</s>	</s>
तेव्हा	tevha
समर्थांनी	samarthanni
हा	ha
आशीर्वाद	ashirwaad
रामाचा	ramacha
आहे	ahe
असे	ase
सांगितले	sangitle
व	va
मंत्र	mantra
सामर्थ्याने	saamarthyane
त्या	tya
प्रेतास	pretas
जिवंत	jeevanta
केले	kele
</s>	</s>
अंकाक्षर	ankakshar
ज्ञान	dnyan
संपादित	sampadit
अंकलिपी	ankalipi
</s>	</s>
या	ya
तालुक्याच्या	talukyachya
पूर्वेकडून	purvekadun
पश्‍चिमला	paschimla
प्रवास	pravas
करीत	karit
जाताना	jatana
कन्‍नड	kannad
भाषेचा	bhashecha
प्रभाव	prabhav
असलेल्या	aslelya
बोलीरूपाकडून	bolirupakadun
कोकणीचा	koknicha
प्रभाव	prabhav
असलेल्या	aslelya
बोलीरूपाकडे	bolirupakade
सरकत	sarkat
जात	jaat
असल्याचा	aslyacha
अनुभव	anubhav
येतो	yeto
</s>	</s>
दुय्यम	duyyam
देवी	devi
अन्नपूर्णा	annapurna
अंबाबाई	ambabai
एकवीरा	ekvira
ऋद्धी	ruddhi
कामेश्वरी	kameshwari
काळूबाई	kalubai
गौरी	gauri
चामुंडा	chamunda
जखाई	jakhai
जगद्धात्री	jagadhatri
बंगालमध्ये	bangalmadhye
जाखादेवी	jakhadevi
तुकाई	tukai
फिरंगाई	firangai
बाणाई	banai
भद्रकाळी	bhadrakali
महालक्ष्मी	mahalaxmi
म्हाळसाई	mhalsai
यमाई	yamai
यल्लम्मा	yallamma
र(खु)खमाई	ra(khu)khmai
रुक्मिणी	rukmini
रेणुका	renuka
ललिता	lalita
शिवदूती	shivduti
सटवाई	satvai
सिद्धी	siddhi
</s>	</s>
पश्चिम	paschim
गोलार्धात	golardhat
मात्र	matra
अंटार्क्टिक	antarctic
द्वीपकल्पाचा	dweepkalpacha
निमुळता	nimulta
भाग	bhag
जवळजवळ	jawaljawal
६३०	630
द	d
</s>	</s>
सूर्यपुत्र	suryaputra
भय्यासाहेब	bhaiyasaheb
आंबेडकर	ambedkar
प्रतिष्ठान	pratishthan
</s>	</s>
सध्या	sadhya
संपदा	sampada
जोगळेकर	joglekar
ह्यांनी	hyanni
पुनश्च	punashcha
सादर	sadar
केलेल्या	kelelya
नव्या	navya
नाटकातील	natakatil
कलाकार	kalakar
पुढीलप्रमाणे	pudhilpramane
आहेत	ahet
</s>	</s>
उत्तरेकडे	uttarekade
पैनगंगा	painganga
नदी	nadi
असून	asun
त्या	tya
पलीकडे	palikade
गोभणी	gobhni
७	7
किमी	km
हे	he
गाव	gaav
आहे	ahe
</s>	</s>
सोनोजीपंत	sonojipant
:	:
जिजाबाईच्या	jijabaichya
हाताखालचे	hatakhalche
पुण्याच्या	punyachya
जहागिरीतले	jahagiritle
एक	ek
कारभारी	karbhari
</s>	</s>
तुझे	tujhe
आहे	ahe
तुजपाशी	tujpashi
आचार्य	aacharya
</s>	</s>
त्याने	tyane
१९३९	1939
साली	saali
भाकपचे	bhakapache
सदस्यत्व	sadasyatva
स्विकारले	sweekarle
व	va
भारतीय	bharatiya
स्वतंत्र्ता	swantantrata
लढ्यात	ladhyat
भाग	bhag
घेतला	ghetla
</s>	</s>
या	ya
उत्सवाची	utsavachi
मूळ	mul
कल्पना	kalpana
फतेह	fateh
सिंह	singh
यांची	yanchi
आहे	ahe
</s>	</s>
त्यांनी	tyani
कल्याण	kalyan
येथे	yethe
आनंद	anand
संप्रदायाची	sampradayachi
स्थापना	sthapana
केली	keli
</s>	</s>
त्यांनी	tyani
पुण्यातील	punyatil
चिंचवड	chinchwad
येथे	yethe
संजीवन	sanjeevan
समाधी	samadhi
घेतली	ghetli
</s>	</s>
करून	karun
त्यांनी	tyani
शिवाय	shivay
बी	b
</s>	</s>
ही	hi
वीज	veej
आपण	apan
इतरत्र	itaratra
वापरू	vapru
शकतो	shakto
</s>	</s>
हे	he
केंद्र	kendra
मुंबईच्या	mumbaichya
नायर	nair
रुग्णालयात	rugnalayat
स्थापन	sthapan
करण्यात	karnyat
आले	aale
</s>	</s>
लॅपरोस्कोपी	laparoscopy
इंग्लिश	english
Laparoscopy	laparoscopy
;)	;)
म्हणजे	mhanje
दुर्बिणीच्या	durbinichya
साहाय्याने	sahayyane
उदरपोकळीमध्ये	udarpoklimadhye
केली	keli
जाणारी	janari
किमान	kiman
फाडतोड	fadtod
असणारी	asnari
पद्धतीची	padhatichi
शस्त्रक्रिया	shastrakriya
आहे	ahe
</s>	</s>
गाउसला	gaussla
बऱ्याच	baryach
वेळा	vela
गणिताचा	ganitacha
राजकुमार	raajkumar
असे	ase
संबोधले	sambodhle
जाते	jate
तसेच	tasech
आत्तापर्यंतचा	attaparyantacha
सर्वश्रेष्ठ	sarvashreshtha
गणितज्ञ	ganitadnya
असे	ase
मानले	manle
जाते	jate
</s>	</s>
अतिरिक्त	atirikta
मणीला	manila
मेरू	meru
बिंदू	bindu
किंवा	kivva
गुरु	guru
मणी	mani
असे	ase
म्हटले	mhantle
जाते	jate
जे	je
108	108
च्या	chya
चक्राच्या	chakrachya
आरंभाचे	aarambhache
आणि	ani
अंताचे	antache
चिन्ह	chinha
असते	aste
आणि	ani
तसेच	tasech
एक	ek
मुख्य	mukhya
मणी	mani
म्हणून	mhanun
त्याचे	tyache
प्रतीकात्मक	pratikatmak
मूल्य	mulya
असते	aste
</s>	</s>
सतत	satat
११	11
दिवस	divas
राणींनी	raninni
ब्रिटिशांना	britishanna
झुलवत	zulvat
ठेवले	thevle
</s>	</s>
१९७०	1970
मध्ये	madhye
गुराह	gurah
राय	rai
आंतरराषट्रीय	antarrashtriya
विमानतळ	vimantal
झाले	jhale
आणि	ani
पर्यटक	paryatak
आणखीनच	ankhinach
वाढलेत	vadhle
</s>	</s>
हा	ha
लेख	lekh
सिहोर	sihor
शहराविषयी	shaharavishayi
आहे	ahe
सिहोर	sihor
जिल्ह्याच्या	zillyachya
माहितीसाठी	mahitisathi
येथे	yethe
टिचकी	tichki
द्या	dya
</s>	</s>
बालचरित	balcharit
</s>	</s>
ऑरेंज	orange
ज्यूस	juice
</s>	</s>
कोल्हापूर	kolhapur
या	ya
जिल्ह्याच्या	zillyachya
ठिकाणापासून	thikanapasun
सर्वाधिक	sarvadhik
अंतर	antar
दोन	don
भिन्‍न	bhinna
भाषा-बोलींचा	bhasha-bolincha
शेजार	shejar
आणि	ani
नित्यसंपर्क	nityasamparka
भाषावार	bhashavar
प्रांतरचनेतपर्यंत	prantarachanetparyanta
येथील	yethil
विविध	vividh
राजकीय	rajkiya
अंमल	ammal
अशा	asha
अनेक	anek
गोष्टींच्या	goshtinchya
पार्श्‍वभूमीवर	parshvabhumivar
येथील	yethil
बोली	boli
स्वत:ची	swatahchi
वेगळी	vegli
वैशिष्ट्ये	vaishishtye
घेऊन	gheun
तयार	tayaar
झालेली	jhaleli
आहे	ahe
</s>	</s>
लग्नाची	lagnachi
बेडी	bedi
अवधूत	avdhut
</s>	</s>
ग्रेगर	gregor
जोहान	johann
मेंडेल	mendel
ऑस्ट्रिया	austria
</s>	</s>
१७८१	1781
-	-
यॉर्कटाउन	yorktown
व्हर्जिनिया	virginia
येथे	yethe
लॉर्ड	lord
कॉर्नवॉलिसच्या	cornwallischya
वतीने	vatine
त्याची	tyachi
तलवार	talvar
जॉर्ज	george
वॉशिंग्टनच्या	washingtonchya
हवाली	havali
करून	karun
ब्रिटिश	british
सैन्याने	sainyane
अमेरिकेसमोर	amerikesamor
शरणागती	sharanagati
पत्करली	patkarli
</s>	</s>
दशरूपक	dasharupak
प्रकारांपैकी	prakaranpaiki
नाटक	natak
हा	ha
एक	ek
उत्कृष्ट	utkrushtha
रूपकप्रकार	rupakprakar
आहे	ahe
</s>	</s>
युनिक्ससारखी	unixsarkhi
पण	pan
व्यक्तिगत	vyaktigat
संगणकावर	sanganakavar
चालणारी	chalnari
संगणकप्रणाली	sanganakpranali
तयार	tayaar
करण्याचा	karnyacha
प्रयत्‍न	prayatna
त्यांनी	tyanni
आरंभला	arambhla
</s>	</s>
भूमिकेचा	bhumikecha
जन्म	janma
दिल्लीतील	delhitil
एका	eka
पंजाबी	punjabi
कुटुंबात	kutumbat
झाला	jhala
</s>	</s>
१९	19
व्या	vya
शतकामध्ये	shatakamadhye
जेव्हा	jevha
ब्रिटिश	british
ईस्ट	east
इंडिया	india
कंपनीने	companyne
भारताचा	bharatacha
संपूर्ण	sampurna
प्रशासकीय	prashaskiya
कारभार	karbhar
आपल्या	aplya
हातात	hatat
घेतला	ghetla
तेव्हा	tevha
त्या	tya
प्रक्रियेमध्ये	prakriyemadhye
एक	ek
नवीन	navin
असा	asa
नोकरदार	nokardar
इंग्रजी	ingraji
बोलणारा	bolnara
मध्यम	madhyam
वर्ग	varga
उदयास	udayaas
आला	aala
</s>	</s>
वाढीव	vadhiv
सिमेंटकरिता	cementkarita
प्रति	prati
गोणीमागे	gonimage
इंदिरा	indira
गांधी	gandhi
प्रतिभा	pratibha
प्रतिष्ठानसाठी	pratishthansathi
घेतलेल्या	ghetlelya
देणग्या	dengya
माजी	maaji
मुख्यमंत्री	mukhyamantri
ए	a
</s>	</s>
छत्री	chatri
म्हणजे	mhanje
प्राथमिकरित्या	prathamikritya
उन	oon
व	va
पाऊस	paus
यापासून	yapasun
रक्षण	rakshan
करण्यासाठी	karnyasathi
बनवलेली	banavleli
वस्तू	vastu
होय	hoy
</s>	</s>
ॲटलास	atlas
ऑफ	of
ऑरेगॉन	oregon
इंग्लिश	english
मजकूर	majkur
</s>	</s>
याउलट	yaulat
मराठी	marathi
भाषेतून	bhashetun
अनेक	anek
शब्द	shabda
इंग्रजी	ingraji
हिंदी	hindi
गुजराती	gujrati
आणि	ani
इतर	itar
भारतीय	bharatiya
भाषांनी	bhashanni
घेतले	ghetle
</s>	</s>
१९०५	1905
साली	saali
पहिल्यांदा	pahilyanda
जोसेफ	joseph
स्टालिन	stalin
लेनिन	lenin
यांना	yanna
भेटले	bhetle
</s>	</s>
त्यांपैकी	tyanpaiki
दोन	don
लहानपणीच	lahanpanich
वारली	vaarli
</s>	</s>
रक्तातील	raktatil
पांढऱ्या	pandhrya
रक्त	rakta
पेशीचे	peshiche
प्रमाण	praman
</s>	</s>
मधमाश्या	madhmashya
या	ya
बाराही	barahi
महिने	mahine
समूहाने	samuhane
मेणाचे	menache
पोळे	pole
बनवून	banvun
त्यात	tyat
मध	madh
साठवतात	sathavtat
</s>	</s>
ज्योतिष	jyotish
ज्ञान	dnyan
</s>	</s>
त्यामध्ये	tyamadhye
दलितांचे	dalitanche
प्रश्न	prashna
</s>	</s>
दात	daat
पांढरा	pandhra
अगदी	agadi
आणि	ani
बंद	banda
</s>	</s>
कलामहर्षी	kalamaharshi
बाबुराव	baburao
पेंटर	painter
:	:
कोल्हापूर	kolhapur
येथील	yethil
बाबुराव	baburao
पेंटर	painter
यांच्या	yanchya
वडिलांचा	vadilancha
व्यवसाय	vyavasay
सुतारकाम	sutarkam
लोहारकाम	loharkam
करणे	karne
हा	ha
होता	hota
</s>	</s>
ज्यामध्ये	jyamadhye
मध्यमवर्गीय	madhyamvargiya
बंगाली	bengali
मुस्लिम	muslim
स्त्रिया	streeya
ज्या	jya
१९१०	1910
ते	te
१९५०	1950
च्या	chya
दरम्यान	darmyan
कलकत्ता	calcutta
किंवा	kivva
ढाका	dhaka
मध्ये	madhye
जन्माला	janmala
आलेल्या	alelya
स्त्रिया	streeya
तसेच	tasech
काही	kahi
मध्यम	madhyam
वर्गीय	vargiya
बंगाली	bengali
हिंदू	hindu
स्त्रिया	streeya
यांच्या	yanchya
आठवणींचा	athvanincha
समावेश	samavesh
आहे	ahe
</s>	</s>
हे	he
अणू	anu
भोवतालचे	bhovtalche
औष्णिक	aushnik
प्रारण	praran
शोषू	shoshu
शकत	shakat
नव्हते	navhate
</s>	</s>
दक्षिणेंत	dakshinet
विशेषकरून	visheshkarun
श्वेत	shwet
जात	jaat
मिळते	milte
आणि	ani
बंगालमध्ये	bengalmadhye
पीत	peet
जात	jaat
आढळते	adhalte
</s>	</s>
८	8
ओसामा	osama
बिन	bin
लादेन	laden
हा	ha
दहशतवादी	dahashatvaadi
सौदी	saudi
अरेबिया	arabia
या	ya
देशाचा	deshacha
मूळ	mul
नागरिक	nagrik
होता	hota
.	.
</s>	</s>
गोवाडे	govade
पोचडे	pochde
दुखटण	dukhtan
खामलोळी	khamloli
बहाडोली,एम्बुरऐरंबी	bahadoli,emburerambi
कुडे	kude
बोट	bot
दहिसर	dahisar
तर्फे	tarfe
मनोर	manor
साखरे	sakhre
नावझे	naavaze
ही	hi
जवळपासची	jawalpaschi
गावे	gaave
आहेत	ahet
</s>	</s>
कोर्दोबा	cordoba
आर्जेन्टिना	argentina
</s>	</s>
देवीची	devichi
पूजा	puja
घरच्या	gharchya
मालकिणीने	malkinine
पंचामृत	panchamrut
वापरून	vaprun
करायची	karaychi
असते	aste
</s>	</s>
जेम्स	james
बाँड	bond
किंवा	kivva
शेरलॉक	sherlock
होम्सने	holmesne
पुस्तकात	pustakat
सिनेमात	cinemat
जी	ji
कामिगरी	kamgiri
केलेली	keleli
आहे	ahe
त्याहून	tyahun
सरस	saras
कामगिरी	kamgiri
बहिर्जी	bahirji
नाईक	naik
यांनी	yanni
वास्तवात	vastavat
करून	karun
दाखवली	dakhavli
आहे	ahe
हे	he
इतिहासाचा	itihaas
अन्वयार्थ	anvayartha
लावल्यानंतर	lavlyanantar
लक्षात	lakshat
येते	yete
</s>	</s>
दुसऱ्या	dusrya
बाजीरावाचा	bajiravacha
दत्तक	dattak
मुलगा	mulga
नानासाहेबाने	nanasahebane
उत्तर	uttar
भारतातील	bhartatil
इतर	itar
स्वातंत्र्यसेनानी	swatantryasenani
तात्या	tatya
टोपे	tope
राणी	rani
लक्ष्मीबाई	laxmibai
इत्यादींसोबत	ityadinsobat
हातमिळवणी	haatmilavni
करून	karun
इंग्रजांविरुद्ध	ingrajanvirudha
लढा	ladha
चालू	chalu
ठेवला	thevla
होता	hota
</s>	</s>
त्याचे	tyache
१५	15
जानेवारी	january
२००७	2007
ला	la
केरळ	keral
सरकारचे	sarkarche
वन	vana
मंत्री	mantri
बिनॉय	binoy
विश्वम	vishwam
यांनी	yanni
उदघाटन	udghatan
केले	kele
त्याच्यामाध्यमातून	tyachyamadyamatun
चालू	chalu
केलेली	keleli
</s>	</s>
जसा	jasa
घटाचा	ghatacha
मातीशी	matishi
असतो	asto
</s>	</s>
२०११	2011
साली	saali
२.६८	2.68
लाख	lakh
लोकसंख्या	loksankhya
असलेले	aslele
इम्फाल	imphal
ईशान्य	ishanya
भारतामधील	bharatamadhil
एक	ek
आघाडीचे	aghadiche
शहर	shahar
मानले	manle
जाते	jate
</s>	</s>
चिखली	chikhli
औरंगाबाद	aurangabad
जिल्हा	zilla
</s>	</s>
शमीकऋषी	shamikrishi
हे	he
भारतीय	bharatiya
पुराणकथांमधील	purankathanmadhil
एक	ek
ऋषी	rishi
आहेत	ahet
</s>	</s>
उदा०	uda
खट	khat
या	ya
शब्दाचा	shabdacha
उच्चार	ucchar
खटऽ	khats
असा	asa
</s>	</s>
तर	tar
६	6
ऑगस्ट	august
रोजी	roji
नव्या	navya
इमारतीच्या	imartichya
प्रवेश	pravesh
दालनास	dalanas
नगरपालिका	nagarpalika
दालन	dalan
असे	ase
नाव	naav
मुख्यमंत्री	mukhyamantri
वसंतराव	vasantrao
नाईक	naik
यांच्या	yanchya
हस्ते	haste
देण्यात	denyat
आले	ale
</s>	</s>
रत्‍नावली	ratnavali
</s>	</s>
भारतात	bharatat
पावसाच्या	pavasachya
प्रमाणानुसार	pramananusar
सात	saat
मुख्य	mukhya
हवामानाचे	havamanache
झोन	zone
आहेत	ahet
</s>	</s>
चंद्रशेखर	chandrashekhar
टिळक	tilak
</s>	</s>
१९४४	1944
साली	saali
त्यांनी	tyani
कायद्याची	kaydyachi
सनद	sanad
घेतली	ghetli
व	va
नंतर	nantar
ते	te
इंग्लंडला	englandla
जाऊन	jaun
बॅरिस्टर	barister
झाले	jhale
</s>	</s>
मुस्लीम	muslim
लीग	league
आणि	ani
भारतीय	bharatiya
राष्ट्रीय	rashtriya
काँग्रेस	congress
यांच्यातील	yanchyatil
एकीकरण	ekikaran
हे	he
अॅनी	annie
बेझंट	besant
यांचे	yanche
उल्लेखनीय	ullekhaniya
यश	yash
होते	hote
</s>	</s>
ते	te
जाफ्राबाद	jafrabad
या	ya
तालुक्याच्या	talukyachya
गावापासून	gavapasun
साधारणपणे	sadharanpane
१७	17
कि	k
</s>	</s>
पण	pan
पोर्तुगीजही	portuguesehi
कालिकत	calicut
येथे	yethe
व्यापारासाठी	vyaparasathi
आल्याने	aalyane
व	va
झामोरीनने	zamorinne
त्यांना	tyanna
तशी	tashi
परवानगी	parvangi
दिल्याने	dilyane
अरबांच्या	arabanchya
कालिकत	calicut
येथून	yethun
आशिया	asia
व	va
युरोपदरम्यान	europedarmyan
चालणाऱ्या	chalnarya
व्यापाराच्या	vyaparachya
एकाधिकाराला	ekadhikarala
धक्का	dhakka
बसला	basla
</s>	</s>
केनरी	canary
बेटांवरील	betavaril
नुएस्त्रा	nuestra
सेन्योरा	senora
दे	de
रेग्ला	regla
पाजारा	pajara
फ्वेर्तेबेन्तुराच्या	fuerteventura
चर्चच्या	churchchya
मुख्य	mukhya
प्रवेशद्वारावरील	praveshdwaravaril
सूर्यनक्षी	suryanakshi
सर्प	sarpa
बिबट्या	bibtya
आणि	ani
पक्ष्यांचे	pakshyanche
शिल्पकाम	shilpakam
आढळते	adhalte
</s>	</s>
मोर	mor
शराटी	sharati
हा	ha
भारताच्या	bhartachya
महाराष्ट्र	maharashtra
मध्यप्रदेश	madhyapradesh
उत्तरप्रदेश	uttarpradesh
गुजरात	gujarat
ओडिशा	odissa
आसाम	assam
मणिपूर	manipur
पश्चिम	paschim
बंगाल	bengal
आंध्र	andhra
प्रदेश	pradesh
केरळ	kerala
या	yaa
राज्यात	rajyat
प्रामुख्याने	pramukhyane
तसेच	tasech
नेपाळ	nepal
पाकिस्तान	pakistan
बांगलादेश	bangladesh
श्रीलंका	srilanka
या	ya
आशियाई	ashiyai
देशात	deshat
हिवाळी	hiwali
पाहुणे	pahune
म्हणून	mhanun
युरोपमधून	europemadhun
स्थलांतर	sthalantar
करून	karun
येतात	yetat
</s>	</s>
उत्तम	uttam
कांबळे	kamble
हे	he
संपादक	sampadak
पत्रकार	patrakar
आणि	ani
साहित्यिक	sahityik
आहेत	ahet
</s>	</s>
व्हर्साय	versai
</s>	</s>
नंतर	nantar
ते	te
जनसंघ	jansangha
पक्षाचे	pakshache
काम	kam
पाहू	pahu
लागले	lagle
</s>	</s>
मुंबईत	mumbait
दाखल	dakhal
झाल्यावर	zalyawar
त्यांची	tyanchi
प्रभाकर	prabhakar
पणशीकरांशी	panshikaranshi
ओळख	olakh
झाली	zali
</s>	</s>
सर्वोत्तम	sarvottam
महिला	mahila
पदार्पणासाठीचा	padarpanasathicha
फिल्मफेअर	filmfare
पुरस्कार	puraskar
-	-
परिणीती	parineeti
चोप्रा	chopra
</s>	</s>
पण	pan
जर	jar
त्याच्या	tyachya
लक्षात	lakshat
आले	aale
तर	tar
मात्र	matra
खैर	khair
नाही	nahi
तो	to
चोप	chop
दिल्याशिवाय	dilyashivai
सोडणार	sodnar
नाही	nahi
</s>	</s>
ब्रह्मे	brahme
यांनी	yanni
आपले	aple
पहिले	pahile
परीक्षण	parikshan
सप्टेंबर	september
२००३	2003
मध्ये	madhye
अनाहत	anahat
या	ya
चित्रपटाचे	chitrapatache
लिहिले	lihile
</s>	</s>
द	the
असोशिएट	associate
मूळ	mul
