हेपेटाइटिस-	hepatitis-
जळत	jalat
असणाऱ्या	asnarya
लाकडाचा	lakdacha
अथवा	athva
ओंडक्याचा	ondkyacha
तुकडा	tukda
असतो.	asto.
</s>	</s>
नाथ	nath
हा	ha
माझा	majha
(विनयकुमार)	(Vinaykumar)
</s>	</s>
आजुबाजूच्या	ajubajuchya
जंगलाच्या	junglechya
परिसरात	parisarat
अनेक	anek
प्रकारच्या	prakarchya
औषधी	aushadhi
वनस्पती	vanaspati
आढळतात.	adhaltat.
</s>	</s>
१८७२	1872
पूर्वी	purvi
पनवेल	Panvel
येथे	yethe
एक	ek
आयुर्वेद	Ayurved
औषधिनिर्माण	aushadhinirman
संस्था	sanstha
सुरू	suru
केली	keli
होती.	hoti.
</s>	</s>
ही	hi
नदी	nadi
रशियाच्या	Russiachya
काराचाय-चेर्केशिया,	Karachay-Cherkessia,
स्ताव्रोपोल	Stavropol
क्राय,	Krai,
अदिगेया	Adygea
व	va
क्रास्नोदर	Krasnodar
क्राय	Krai
ह्या	hya
राजकीय	rajkiya
विभागांतून	vibhagantun
वाहते.	vahte.
</s>	</s>
असे	ase
म्हटले	mhantle
जाते	jate
की,गणपतीने	ki,Ganpatine
मोरयास	Moryas
असा	asa
सक्षात्कार	sakshatkar
करुन	karun
दिला	dila
की	ki
"मी	"me
(गणपती)	(Ganpati)
तुझ्या	tujhya
पूजे	puje
करीता	karita
चिंचवड	Chinchwad
येथे	yethe
प्रकट	prakat
होणार	honar
आहे.	ahe.
</s>	</s>
त्यांच्या	tyanchya
अटकेचे	atkeche
वॉरंट	warrant
निघाल्यावर	nighalyawar
बाबा	Baba
काही	kahi
वर्ष	varsha
भूमिगत	bhumigat
राहिले.	rahile.
</s>	</s>
खैरे	Khaire
ह्यांनी	hyani
"संमत"	"Samant"
सिद्धान्ताद्वारे	sidhantadware
मराठीचे	Marathiche
मूळ	mul
तमिळ	Tamil
भाषेमध्ये	bhashemadhye
शोधले	shodhle
असल्याचे	aslyache
त्यांनी	tyani
द्रविड	Dravid
महाराष्ट्र,	Maharashtra,
अडगुलं	adgula
मडगुलं	madgula
(पुस्तक)	(pustak)
या	ya
पुस्तकांत	pustakat
सांगितले	sangitle
आहे.	ahe.
</s>	</s>
हे	he
मंदिर	mandir
गिरिगोसावी	Girigosavi
पंथीयांच्या	panthiyanchya
तंत्रमार्गीयांचे	tantramargiyanche
असल्याने	aslyane
सर्वसामान्य	sarvasamanya
भाविकजन	bhavikjan
इथे	ithe
फिरकत	firkat
नव्हते.	navhate.
</s>	</s>
नमस्कार	namaskar
</s>	</s>
शान्ताकारं	shantakaran
भुजगशयनं	bhujagashayan
पद्मनाभं	padmanabham
सुरेशं	sureshan
</s>	</s>
जव्हार	Jawhar
येथील	yethil
साप्ताहिक	saptahik
‘कालतरंग’चे	'Kaltarang'che
संपादक	sampadak
दयानंद	Dyanand
मुकणे	Mukne
हे	he
जव्हार-नाशिक	Jawhar-Nashik
रेल्वेमार्गाबाबत	railwaymargababat
प्रयत्न	prayatna
करत	karat
असताना	astana
कल्याणजवळच्या	Kalyanjawalchya
बदलापूर	Badlapur
येथे	yethe
राहणारे	rahnare
गुलाम	Gulam
मुस्तफा	Mustafa
रब्बानी	Rabbani
कुवारी	Kuvari
यांच्‍याशी	hyanchyashi
त्‍यांची	tyanchi
भेट	bhet
झाली.	jhali.
</s>	</s>
थैलीभर	Thailibhar
गोष्टी	goshti
(अनुवादित,	(anuvadit,
मूळ	mul
लेखिका	lekhika
-	-
सुधा	Sudha
मूर्ती)	Murthy)
</s>	</s>
दालनाच्या	dalanachya
डाव्या	davya
बाजूला	bajula
बुद्धमूर्ती	buddhamurti
व	va
शिलालेख	shilalekh
आहे.	ahe.
</s>	</s>
अशा	asha
स्त्रियांना	streeyanna
स्वावलंबी	swavalambi
करण्याचे	karnyache
दुःख	dukkha
नष्ट	nashta
करण्याचे	karnyache
व	va
त्यांना	tyanna
जीवनात	jeevanat
समाधान	samadhan
प्राप्त	prapta
करून	karun
देण्याचे	denyache
कार्य	karya
हे	he
आश्रम	ashram
करते.	karte.
</s>	</s>
ती	ti
परंपरा	parampara
अजूनही	ajunahi
सुरू	suru
आहे.	ahe.
</s>	</s>
गंमत	gammat
(बालसाहित्य)	(balsahitya)
</s>	</s>
वि.म.	V.M.
गोगटे	Gogate
पुरस्कार	puraskar
-	-
ललितेतर	Lalitetar
माहितीपर	mahitipar
ग्रंथासाठी	granthasathi
</s>	</s>
दुरितांचे	duritanche
तिमिर	timir
जावो	javo
</s>	</s>
परंतु	parantu
इंग्रजांपुढे	Ingrajanpudhe
त्यांचा	tyancha
टिकाव	tikav
लागला	lagla
नाही.	nahi.
</s>	</s>
धंदे	dhande
आणि	ani
व्यवसाय	vyavasay
यांची	yanchi
माहिती	mahiti
वाजसनेयी	vajasneyi
संहितेत	sanhitet
(३०.७)	(30.7)
येथे	yethe
आहे.	ahe.
</s>	</s>
धुमधमाल	dhumdhamal
</s>	</s>
या	ya
कंपनीने	companyne
विमान	viman
सेवेबरोबर	sevebarobar
देशातील	deshatil
ज्या	jya
५	5
स्थानिक	sthanik
विमान	viman
सेवा	seva
आपल्या	aplya
मालकीच्या	malkichya
केल्या	kelya
आणि	ani
त्या	tya
या	ya
कंपनीला	companyla
साहाय्यभूत	sahayyabhut
झाल्या	zalya
त्या	tya
खालीलप्रमाणे	khalilpramane
आहेत.	ahet.
</s>	</s>
श्रीमती	Shrimati
नाथीबाई	Nathibai
दामोदर	Damodar
ठाकरसी	Thakersey
महिला	Mahila
विद्यापीठाच्या	Vidyapithachya
त्या	tya
जी.	G.
</s>	</s>
मायबोली	mayboli
हितगुज	hitguj
</s>	</s>
स्वर	swar
</s>	</s>
कौण्डिण्य,	Kaundinya,
प्रा.	Pra.
</s>	</s>
तिसरे	teesre
महायुद्ध	Mahayudha
कुणालाच	kunalach
नको	nako
आहे.	ahe.
</s>	</s>
कोणी	koni
डोळ्यांत	dolyat
कापूर	kapur
घालतात.	ghaltat.
</s>	</s>
त्यावेळी	tyaveli
त्यांना	tyana
जे.	J.
</s>	</s>
चिंटू	Chintu
छोट्या	chotya
छोट्या	chotya
गोष्टींमधून	goshtinmadhun
मजा	maja
करत	karat
असतो.	asto.
</s>	</s>
ती	ti
कधी	kadhi
कोरली	korli
गेली,	geli,
कुणी	kinu
कोरलेली	korleli
या	ya
बाबत	babat
कुणालाच	kunalach
काहीही	kahihi
माहिती	mahiti
नाही;	nahi;
पण	pan
हे	he
काताळशिल्प	katalshilpa
म्हणजे	mhanje
थडगी	thadgi
असावीत.	asavit.
</s>	</s>
याचे	yache
मूल	mul
नाव	nav
होते	hote
काडाब्रा.	Kadabra.
</s>	</s>
अलीकडे	alikade
शहरी	shahari
भागात	bhagat
अशा	asha
वाड्यांची	Wadyanchi
जागा	jaga
चाळींनी	chalinni
घेतली	ghetli
आहे.	ahe.
</s>	</s>
एक	ek
साधा	sadha
चार्ट	chart
आहे,	ahe,
जे	je
किती	kiti
लोकांना	lokanna
उपस्थित	upasthit
आहेत	ahet
आणि	ani
किती	kiti
अन्न	anna
शिजवावे	shijvave
हे	he
दर्शविते.	darshavite.
</s>	</s>
इतिहासाच्या	Itihasachya
आवडीमुळे	avdimule
ते	te
या	ya
क्षेत्रातील	kshetratil
अभ्यासाकडे	abhyasakade
वळले.	valle.
</s>	</s>
कालवे	Kalve
</s>	</s>
दीपमाला	deepmala
</s>	</s>
गावात	gavat
इसवी	Isavi
सनाच्या	sanachya
१३	13
व्या	vya
शतकात	shatakat
यादवकालीन	Yadavkalin
राजा	Raja
सिंघण	Singhan
याने	yane
बांधलेले	bandhlele
हेमाडपंथी	Hemadpanthi
स्वरूपाचे	swarupache
महादेवाचे	Mahadevache
प्राचीन	prachin
मंदिर	mandir
प्रसिद्ध	prasidha
आहे.	ahe.
</s>	</s>
त्यांनी	tyanni
वेठबिगारी,	Vethbigari,
लगीनगडी,	Lagingadi,
घरगडी,	Ghargadi,
खावटी,	Khavti,
पालंमोड	Palanmod
या	ya
आदिवासींना	Adivasinna
अन्याय्य	anyaya
अश्या	ashya
प्रथा	pratha
मोडून	modun
काढल्या.	kadhlya.
</s>	</s>
लाहोर	Lahore
ते	te
दिल्ली	Delhi
दरम्यान	darmyan
धावणारी	dhavnari
समझौता	Samjhauta
एक्सप्रेस	Express
पूर्वी	purvi
लाहोर	Lahore
ते	te
अमृतसर	Amritsar
दरम्यानच	darmyanach
धावत	dhavat
असे.	ase.
</s>	</s>
सरकार	Sarkar
यांनी	yanni
शहाबानो	Shahabano
या	ya
वादग्रस्त	vaadagrasta
घटनेची	ghatanechi
पुन्हा	punha
चर्चा	charcha
केली	keli
आहे	ahe
तसेच	tasech
गुजरात	Gujarat
मधील	madhil
दंगलीची	dangalichi
चर्चा	charcha
निष्कर्षामध्ये	nishkarshamadhye
केली	keli
आहे.	ahe.
</s>	</s>
व	va
पुढचे	pudhche
२	2
चरण	charan
कल्याण	Kalyan
स्वामी	Swami
यांनी	yanni
पूर्ण	purna
केले.	kele.
</s>	</s>
एका	eka
उंच	uncha
टेकडीवरील	tekdivaril
जमिनीला	jaminila
लागून	lagun
असलेल्या	aslelya
१४	14
टाक्या	takya
अचानक	achanak
पाण्याने	panyane
भरून	bharun
जातात.	jatat.
</s>	</s>
प्रिय	priya
मुली	muli
(मराठी)	(marathi)
</s>	</s>
ब्रिटिशांनी	Britishani
केलेल्या	kelelya
विश्र्वासघातामुळे,	vishwasghatamule,
अन्यायामुळे	anyayamule
‘भारतात	'Bharatat
विदेशी	videshi
शासन	shasan
नकोच’	nakoch'
अशा	asha
ठाम	tham
मताच्या	matachya
राणींनी	Ranini
भेटीस	bhetis
जाण्याचे	janyache
नाकारले.	nakarle.
</s>	</s>
गीता	Gita
कपूर	Kapur
या	ya
चित्रपटांतील	chitrapatantil
“'जिवंत	"'Jeevanta
परंपरेचे’”	parampareche'"
समीक्षण	samikshan
करतात	kartat
व	va
दावा	davaa
करतात	kartat
की	ki
जगण्याच्या	jagnyachya
संस्कृतीला	sanskrutila
जाणून	janun
घेतल्याने	ghetlyane
समकालीन	samakalin
संस्कृती	sanskruti
समजणे	samajne
सोपे	sope
जाते.	jate.
</s>	</s>
झी	Zee
क्लासिक	Classic
</s>	</s>
त्यांमध्ये	tyanmadhye
खटाव	Khatav
तालुक्यातील	talukyatil
मायणी	Mayni
या	ya
एकमेव	ekmeva
गावाची	gavachi
निवड	nivad
करण्यात	karnyat
आली	aali
आहे.	ahe.
</s>	</s>
मध्य	Madhya
प्रदेशातल्या	Pradeshatlya
शिवणी	Shivni
जिल्ह्यातल्या	zillyatlya
छपारा	Chapara
ब्लॉक	block
मधल्या	madhlya
तेरा	tera
गोंड	gond
आदिवासी	Adivasi
गावांच्या	gavanchya
आसपासच्या	aspaschya
जंगलात	junglat
भरपूर	bharpur
चारोळी	charoli
पिकते.	pikte.
</s>	</s>
इतिहास	itihaas
</s>	</s>
या	ya
सेवेचा	sevecha
उद्देश	uddesha
भारतीय	Bharatiya
नागरिकांना	nagrikanna
त्यांच्या	tyanchya
वैयक्तिक	vaiyaktik
दस्तऐवजासाठी	dastaivajasathi
इलेक्ट्रॉनिक	electronic
जागा	jaga
उपलब्ध	upalabdha
करून	karun
देणे	dene
हा	ha
आहे.	ahe.
</s>	</s>
यावर	yavar
पर्याय	paryay
म्‍हणून	mhanun
खरबूजाचा	kharbujacha
वापर	vapar
मोठ्या	mothya
प्रमाणात	pramanat
करणे	karne
लाभदायक	labhdayak
ठरतं.	tharta.
</s>	</s>
उद्वेली	udveli
हास्यानंद	hasyananda
</s>	</s>
त्यानंतर	tyanantar
त्यांनी	tyanni
स्पेन	Spain
देशात	deshat
भारतीय	Bharatiya
राजदूत	rajdut
म्हणून	mhanun
कार्य	karya
केले.	kele.
</s>	</s>
पैलतीर	pailateer
</s>	</s>
पक्षातील	pakshatil
शिस्त	shista
वाढवण्यासाठी	vadhavnyasathi
श्रेणीनुसार	shreninusar
समित्या	samitya
बनवल्या	banavlya
गेल्या.	gelya.
</s>	</s>
त्यांचे	tyanche
नागपूरमध्ये	Nagpurmadhye
शिक्षण	shikshan
असताना	astana
महात्मा	Mahatma
गांधींनी	Gandhini
असहकाराची	asahakarachi
चळवळ	chalval
सुरू	suru
केली,	keli,
त्यावेळी	tyaveli
म्हणजे	mhanje
इ.	I.
</s>	</s>
न्याय	nyay
म्हणजे	mhanje
नैतिक	naitik
दृष्ट्या,	drushtya,
विवेकवादाने,	vivekvadane,
नैसर्गिकदृष्टीने,	naisargikdrushtine,
निष्पक्षतेने	nishpakshetene
समतेने	samatene
बरोबर/योग्य	barobar/yogya
असणे.	asne.
</s>	</s>
गीची	Gichi
ही	hi
पहिली	pahili
लघुकथा	laghukatha
फ्रान्स-प्रशिया	France-Prasia
युद्धाच्या	yudhachya
पार्श्वभूमीवर	parshwabhumivar
बेतली	betli
होती.	hoti.
</s>	</s>
आणि	ani
आजही	ajahi
या	ya
कामांना	kammanna
महत्त्वाचे	mahatvache
स्थान	sthan
आहे.	ahe.
</s>	</s>
श्रमिक	shramik
एकजूट	ekjut
</s>	</s>
औरंगाबाद	Aurangabad
जिल्हा,	zilla,
बिहार	Bihar
(बिहार)	(Bihar)
</s>	</s>
या	ya
संमेलनाचे	sammelanache
अध्यक्ष	Adhyaksha
कवी	kavi
व	va
गीतकार	geetkar
प्रवीण	Pravin
दवणे	Davane
होते.	hote.
</s>	</s>
३)प्राचीन	3)prachin
मराठी	Marathi
वाड्मयाचे	vagmayache
स्वरुप	swarup
-	-
प्रा.	Pra.
ह.श्री.	H.Shri.
शेणोलीकर,	Shenolikar,
</s>	</s>
निमकी	Nimkee
मुखिया	Mukhiya
(दूरचित्रवाणी	(doorchitravani
मालिका)	malika)
</s>	</s>
बाली	Bali
हे	he
त्याच्या	tyachya
आत्याधूनिक	atyadhunik
आणि	ani
वैविध्येने	vaividhyene
भरलेल्या	bharlelya
संस्कृती	sanskruti
साठी	sathi
प्रसिद्ध	prasidha
आहे.	ahe.
</s>	</s>
सर्वोत्कृष्ट	sarvotkrushtha
सर्वांगीण	sarvangin
मनोरंजक	manoranjak
चित्रपट	chitrapat
</s>	</s>
तो	to
वैदिक	Vaidik
धर्माचा	dharmacha
अनुयायी	anuyayi
होता.	hota.
</s>	</s>
माओवाद्यांविषयी	Maovadyanvishayi
सहानभूती	sahanubhuti
बाळगणे	balagne
हा	ha
देशद्रोह	deshdroha
ठरत	tharat
नाही	nahi
अशी	ashi
टिपण्णी केली	tipanni
त्यांनी	tyani
केली.	keli.
</s>	</s>
७१	71
आमदारसंख्या	Aamdarsankhya
असलेल्या	aslelya
उत्तराखंड	Uttarakhand
विधानसभेचे	Vidhansabheche
कामकाज	kamkaj
डेहराडूनमधून	Dehradunmadhun
चालते.	chalte.
</s>	</s>
राजदिंडी-ही	Rajdindi-hi
दुर्गम	durgam
वाट	vaat
गडाखाली	gadakhali
उतरते.	utarte.
</s>	</s>
तुकोजी	Tukoji
होळकर	Holkar
:	:
इंदूरचे	Indoreche
सरदार,	Sardar,
बारभाईंपैकी	barbhainpaiki
एक.	ek.
</s>	</s>
अल	Al
ऐन	Ain
हे	he
संयुक्त	sanyukta
अरब	Arab
अमिरातीचा	Amiraticha
पहिला	pahila
राष्ट्राध्यक्ष	Rastradhaksha
शेख	Shaikh
झायेद	Zayed
बिन	bin
सुल्तान	Sultan
अल	Al
नाह्यान	Nahyan
ह्याचे	hyache
जन्मस्थान	janmasthan
आहे.	ahe.
</s>	</s>
च्या	chya
सुमारास	sumaras
याला	yala
रेजिमेंटचा	Regimentcha
दर्जा	darja
देण्यात	denyat
आला.	ala.
</s>	</s>
त्याचबरोबर	tyachbarobar
धरणग्रस्त	dharangrasta
कलाकृती	kalakruti
मधून	madhun
मराठवाड्यातील	Marathwadyatil
पैठण	Paithan
तालुक्यातील	talukyatil
बांधलेला	bandhlela
पहिला	pahila
`मातीचा`	'maticha'
प्रकल्प	prakalpa
म्हणून	mhanun
ओळखला	olakhla
जाणारा	janara
नाथसागर	Nathsagar
अर्थात	arthat
जायकवाडी	Jayakwadi
या	ya
प्रकल्पात	prakalpat
एकूण	ekun
चार	char
तालुक्यातील	talukyatil
साधारणपणे	sadharanpane
१०८	108
गावांचा	gavancha
समावेश	samavesh
होतो.	hoto.
</s>	</s>
सीमा	Seema
अंतिल	Antil
यांचा	yancha
विवाह	vivah
त्यांचे	tyanche
प्रशिक्षक	prashikshak
अंकिल	Ankil
पुनीया	Puniya
यांच्याशी	yanchyashi
झाला.	zala.
</s>	</s>
शालो-आं-शाँपेन	Shalo-an-Shaupen
</s>	</s>
डेटन	Daton
या	ya
नावाचे	navache
अनेक	anek
उपयोग	upayog
आहेत.	ahet.
</s>	</s>
२००८	2008
सालच्या	saalchya
ऑलिंपिक्स	Olympics
व	va
अपंगांच्या	apanganchya
ऑलिंपिक	Olympic
खेळांसाठी	khelansathi
हे	he
स्टेडियम	stadium
वापरले	vaparle
गेले.	gele.
</s>	</s>
परीयोजनांचा	pariyojanancha
विस्तृत	vistrut
जल	jal
वैज्ञानिक	vaidnyanik
अभ्यास	abhyas
</s>	</s>
तसेच,	tasech,
ससे,	sase,
गिलहरी	gilhari
आणि	ani
इतर	itar
लहान	lahan
सस्तन	sastan
प्राणी	prani
देखील	dekhil
खातात.	khatat.
</s>	</s>
पाऊस	paus
मे	May
ते	te
नोव्हेबर	November
या	ya
दरम्यान	darmyan
होतो.	hoto.
</s>	</s>
ब्राह्मण	Brahman
मानस	Manas
</s>	</s>
१९४२	1942
मध्ये	madhye
त्यांनी	tyanni
इंग्रजांविरुद्ध	Ingrajanvirudha
भारत	Bharat
छोडो	Chodo
आंदोलन	andolan
चालू	chalu
केले.	kele.
</s>	</s>
पुश	Push
</s>	</s>
महिलांचे	mahilanche
आरोग्य	arogya
स्त्रियांच्या	streeyanchya
आरोग्याशी	arogyashi
संबंधित	sambandhit
आहे,	ahe,
जे	je
बर्याच	baryach
वेगवेगळ्या	vegveglya
मार्गांनी	marganni
पुरुषांपेक्षा	purushanpeksha
वेगळे	vegle
आहे.	ahe.
</s>	</s>
आंबेडकरांच्या	Ambedkaranchya
५०००	5000
पेक्षा	peksha
अधिक	adhik
मूळ	mul
छायाचित्रांचा	chayachitrancha
संग्रहही	sangrahi
त्यांनी	tyanni
केला	kela
आहे.	ahe.
</s>	</s>
यानंतर	yanantar
तिने	tine
ओपेक्टात	Opektat
काम	kam
करणे	karne
सोडून	sodun
दिले.	dile.
</s>	</s>
२००११	2011
सालचा	salchya
मिशन:	Mission:
इम्पॉसिबल	Impossible
-	-
घोस्ट	Ghost
प्रोटोकॉल,	Protocal,
२०१२	2012
सालचा	saalcha
द	The
ॲव्हेंजर्स,	Avengers,
२०१३	2013
सालचा	saalcha
अमेरिकन	American
हसल	Hustle
इत्यादी	ityadi
यशस्वी	yashasvi
चित्रपटांमध्ये	chitrapatanmadhye
भूमिका	bhumika
करून	karun
रेनर	Renner
हॉलिवूडमधील	Hollywoodmadhil
एक	ek
आघाडीचा	aghadicha
अभिनेता	abhineta
बनला	banla
आहे.	ahe.
</s>	</s>
शिष्यांनी	shishyanni
एक	ek
मोठी	mothi
बांबूची	bamboochi
टोपली	topli
तयार	tayaar
केली.	keli.
</s>	</s>
ययाति	Yayati
आणि	ani
देवयानी	Devayani
</s>	</s>
महाराष्ट्राची	Maharashtrachi
कुळकथा	Kulkatha
</s>	</s>
रमण	Raman
रणदिवे	Randive
</s>	</s>
राष्ट्रीय	Rashtriya
महामार्ग	Mahamarga
१	1
ए	A
श्रीनगरला	Shrinagarla
दिल्लीसोबत	Delhisobat
व	va
कारगिल	Kargil
तसेच	tasech
लेहसोबत	Lehsobat
जोडतो.	jodto.
</s>	</s>
बोत्स्वाना	Botswana
देश	desh
१९८०	1980
सालापासून	saalapasun
प्रत्येक	pratyek
उन्हाळी	unhali
ऑलिंपिक	Olympic
स्पर्धांमध्ये	spardhanmadhye
सहभागी	sahabhagi
झाला	zala
असून	asun
त्याने	tyane
आजवर	ajwar
एकही	ekahi
पदक	padak
जिंकलेले	jinklele
नाही.	nahi.
</s>	</s>
भद्रावती	Bhadravati
</s>	</s>
या	ya
गोळीबाराचा	golibaracha
कट	kut
अँजेला	Angela
हिनेच	hinech
आखला	akhla
होता	hota
असा	asa
आरोप	aarop
तिच्यावर	tichyavar
केला	kela
गेला	gela
होता.	hota.
</s>	</s>
यांना	yanna
पाच	paach
बोटे	bote
असतात	astat
आणि	ani
तोंड	tond
लांबट	lambat
असते.	aste.
</s>	</s>
ही	hi
संस्था	sanstha
भारतीय	Bharatiya
आणि	ani
अन्य	anya
स्थानिक	sthanik
लोकांमधीला	lokanmadhila
एक	ek
दुवा	duvaa
आहे.	ahe.
</s>	</s>
दे	De
धक्का	Dhakka
या	ya
मराठी	Marathi
चित्रपटात	chitrapatat
टमटममधील	tumtummadhil
प्रवास	pravas
पाहावयास	pahavayas
मिळतो.	milto.
</s>	</s>
एम्ब्राएर	Embraer
ईआरजे	ERJ
१४५	145
हे	he
आखूड	akhud
पल्ल्याचे	pallyache
मध्यम	madhyam
प्रवासीक्षमतेचे	pravasikshamateche
जेट	Jet
विमान	vimaan
आहे.	ahe.
</s>	</s>
त्या	tya
सामन्यात	saamnyat
(नंतर	(nantar
भारताच्या	Bharatacha
प्रशिक्षकपदी	prashikshakpadi
आलेल्या)	aalelya)
जॉन	John
राईटने	Wrightne
सचिनचा	Sachincha
झेल	zel
पकडला	pakadla
ज्यायोगे	jyayoge
सचिन	Sachin
जगातला	jagatla
सर्वात	sarvat
तरूण	tarun
शतकी	shataki
खेळी	kheli
करणारा	karnara
खेळाडू	kheladu
बनण्यापासून	bannyapasun
वंचित	vanchit
राहिला.	rahila.
</s>	</s>
ही	hi
लेणी	Leni
आरे	Aarey
कॉलनी	Colony
आणि	ani
संजय	Sanjay
गांधी	Gandhi
राष्ट्रीय	Rashtriya
उद्यानात	Udyanat
आहेत.	ahet.
</s>	</s>
हा	ha
ट्रान्सअंटार्क्टिक	Transantarctic
पर्वतरांगांनी	parvatranganni
विभागला	vibhagala
गेला	gela
आहे.	ahe.
</s>	</s>
विकि	Wiki
मेलिंगलीस्ट	Mailinglist
करिता	karita
सध्या	sadhya
हेच	hech
सॉफ्टवेर	Software
वापरले	vaparle
जाते	jate
या	ya
दृष्टीने	drushtine
या	ya
लेखाचे	lekhache
प्राधान्याने	pradhanyane
भाषांतर	bhashantar
करून	karun
हवे	have
आहे	ahe
तसेच	tasech
मेलमन	mailman
सॉफ्टवेरच्या	softwarechya
भाषांतरात	bhashantarat
येथे	yethe
भाषांतर	bhashantar
सहाय्य	sahayya
हवे	have
आहे.	ahe.
</s>	</s>
माझ्या	majhya
स्वप्नांचा	swapnancha
भारत	Bharat
</s>	</s>
कवितासंग्रह	kavitasangraha
-	-
जागतिकीकरणात	jagatikikarnat
माझी	majhi
कविता,	kavita,
नाशिक	Nashik
तू	tu
एक	ek
सुंदर	sunder
कविता	kavita
</s>	</s>
वाऱ्याचा	varyacha
वेग	veg
जास्त	jasta
मिळविण्यासाठी	milvinyasathi
पवनचक्की	pawanchakki
अधिकाधिक	adhikadhik
उंचीवर	unchivar
बांधतात.	bandhtat.
</s>	</s>
दैवाने	daivane
त्यांना	tyanna
मिळालेली	milaleli
प्रतिभा	pratibha
त्यांनी	tyani
वाचनाने	vachanane
व	va
योग्य	yogya
ते	te
प्रयत्‍न	prayatna
करून	karun
फुलवली.	fulavli.
</s>	</s>
त्याने	tyane
ओळखले	olakhle
होते	hote
की	ki
शिवाजीचे	Shivajiche
प्राण	pran
हे	he
त्याच्या	tyachya
प्रजेत	prajet
असून	asun
तो	to
त्याच्या	tyachya
प्रजेला	prajela
त्रास	tras
दिल्याशिवाय	dilyashivai
सापडायचा	sapdaycha
नाही.	nahi.
</s>	</s>
त्यानंतर	tyanantar
कंपनीने	companyne
ट्रॅक	track
बदलला.	badalla.
</s>	</s>
हे	he
१४वे	14ve
पंतप्रधान	Pantapradhan
होते.	hote.
</s>	</s>
अजगर	ajagar
</s>	</s>
४)	4)
शिकावु	shikavu
सभासद	sabhasad
व	va
सहयोगी	sahayogi
सभासद	sabhasad
सल्लागार	sallagaar
समिती	samiti
व	va
जन	jan
समितीचे	samitiche
सभासद	sabhasad
होण्यास	honyas
पात्र	patra
राहणार	rahnar
नाही	nahi
व	va
त्याना	tyana
मतदानाचा	matadanacha
अधिकार	adhikaar
नसेल.	nasel.
</s>	</s>
आलिंग	aalinga
</s>	</s>
अंतरावर	antaravar
आहे.	ahe.
</s>	</s>
त्यांना	tyanna
खंडोबाच्या	Khandobachya
मंदिरात	mandirat
बसवून,	basvun,
त्यांच्याकडून	tyanchyakadun
कठोर	kathor
साधना	sadhna
करवून	karvun
घेतली.	ghetli.
</s>	</s>
येथील	yethil
चवदार	chavdar
तळ्याचा	talyachya
सत्याग्रह	satyagraha
इतिहासात	itihasat
प्रसिद्ध	prasidha
आहे.	ahe.
</s>	</s>
रायगड	Raigad
तालुक्यातल्या	talukyatlya
कर्जत(पूर्व)	Karjat(purva)
रेल्वे	railway
स्टेशनपासून	stationpasun
कशेळेमार्गे	Kashelemarge
जाणारी	janari
आंबिवले	Ambivale
बस	bus
आहे.	ahe.
</s>	</s>
नभोनाट्य	Nabhonatya
घरात	gharat
बसून	basun
एकट्याने	ektyane
किंवा	kivva
कुटुंबासमवेत	kutumbasamavet
ऐकता	aikta
येते.	yete.
</s>	</s>
गाव	gaav
पूर्वी	purvi
लष्करी	Lashkari
ठाणे	Thane
असल्याने	aslyane
येेथे	yethe
लढाया	ladhaya
होत.	hot.
</s>	</s>
गाव	gaav
नमुना	namuna
नं.	no.
८अ	8a
म्हणजे	mhanje
खातेदारांची	khatedaranchi
नोंदवही.	nondavahi.
</s>	</s>
ही	hi
प्राचीन	prachin
काळी	kali
मगध	Magadh
साम्राज्याची	Samrajyachi
राजधानी	rajdhani
होती.	hoti.
</s>	</s>
प्रेझिडेंट.पीएल	President.PL
(पोलिश	(Polish
मजकूर)	majkur)
</s>	</s>
आणखी	ankhi
काम	kaam
चालूच	chaluch
आहे.	ahe.
</s>	</s>
यातील	yatil
एकोबा	Ekoba
हे	he
संत	sant
एकनाथ	Eknath
नसून	nasun
एकोबा	Ekoba
रामदासी	Ramdasi
होते	hote
व	va
तुकोबा	Tukoba
हे	he
संत	sant
तुकाराम	Tukaram
नसून	nasun
एकोबाचे	Ekobache
शिष्य	shishya
तुकोबा	Tukoba
रामदासी	Ramdasi
होते.	hote.
</s>	</s>
अनेक	anek
मराठी	Marathi
शब्द	shabda
संस्कृत	Sanskrit
शब्दांपासून	shabdanpasun
थोडाफार	thodafar
बदल	badal
होऊन	houn
बनले.	banle.
</s>	</s>
या	ya
पर्वतरांगेत	parvatranget
बिलिगिरीरंगनाथ	Bilingirirangnath
स्वामी	Swami
अभयारण्य	abhayaranya
आहे.	ahe.
</s>	</s>
या	ya
उपविभागीय	upvibhagiya
कार्यालय	karyalay
अंतर्गत	antargat
खालील	khalil
तालुके	taluke
येतात.	yetat.
</s>	</s>
उती	Uti
ही	hi
पेशी	peshi
व	va
सजीव	sajeev
यांमधील	yanmadhil
पायरी	payri
आहे.	ahe.
</s>	</s>
बंगाली	Bengali
भाषेतील	bhashetil
खालील	khalil
नमुना	namuna
मजकूर	majkur
संयुक्त	sanyukta
राष्ट्रसंघाच्या	rashtrasanghachya
मानवाधिकार	manavadhikar
घोषणापत्राचे	ghoshnapatrache
पहिले	pahile
कलम	kalam
आहे.	ahe.
</s>	</s>
अनेकदा	anekda
रस्त्यावरच	rastyavarach
मुक्काम	mukkam
करून	karun
त्यांनी	tyanni
काम	kam
चालविले.	chalvile.
</s>	</s>
